creator,creatorLabel,datebirth,datedeath,placebirthLabel,lat_long,placedeathLabel,lat_long_2
http://www.wikidata.org/entity/Q954504,Alessandro Bonvicino,1498-01-01T00:00:00Z,1554-12-01T00:00:00Z,Rovato,"45.564166666667, 9.9997222222222",Rovato,"45.564166666667, 9.9997222222222"
http://www.wikidata.org/entity/Q964293,Roberto da Montevarchi,1460-01-01T00:00:00Z,1522-01-01T00:00:00Z,Montevarchi,"43.523397222222, 11.567866666667",Montevarchi,"43.523397222222, 11.567866666667"
http://www.wikidata.org/entity/Q964357,Cornelis Engebrechtsz,1468-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,"52.154444444444, 4.4947222222222",Leyde,"52.154444444444, 4.4947222222222"
http://www.wikidata.org/entity/Q953602,Sebastiano Florigerio,1500-01-01T00:00:00Z,1545-01-01T00:00:00Z,Conegliano,"45.887222222222, 12.296944444444",Udine,"46.066666666667, 13.233333333333"
http://www.wikidata.org/entity/Q954072,Raffaellino del Garbo,1470-01-01T00:00:00Z,1524-01-01T00:00:00Z,Barberino Val d'Elsa,"43.543327777778, 11.172175",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q954072,Raffaellino del Garbo,1470-01-01T00:00:00Z,1527-01-01T00:00:00Z,Barberino Val d'Elsa,"43.543327777778, 11.172175",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q957872,Francisco Henriques,1500-01-01T00:00:00Z,1518-01-01T00:00:00Z,Bruges,"51.209444444444, 3.22",Lisbonne,"38.716666666667, -9.1666666666667"
http://www.wikidata.org/entity/Q957847,Lucas Horenbout,1490-01-01T00:00:00Z,1544-01-01T00:00:00Z,Gand,"51.05, 3.7166666666667",Londres,"51.507222222222, -0.1275"
http://www.wikidata.org/entity/Q964357,Cornelis Engebrechtsz,1468-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,"52.15274, 4.4836",Leyde,"52.154444444444, 4.4947222222222"
http://www.wikidata.org/entity/Q964154,Richard Aertsz,1482-01-01T00:00:00Z,1577-05-01T00:00:00Z,Wijk aan Zee,"52.491944444444, 4.5947222222222",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q1479444,Hans Bocksberger,1510-01-01T00:00:00Z,1561-01-01T00:00:00Z,Salzbourg,"47.766944444444, 13.364166666667",Salzbourg,"47.766944444444, 13.364166666667"
http://www.wikidata.org/entity/Q1522152,Giacomo Pacchiarotti,1474-01-01T00:00:00Z,1540-01-01T00:00:00Z,Sienne,"43.318333333333, 11.331388888889",Viterbe,"42.418611111111, 12.104166666667"
http://www.wikidata.org/entity/Q1525867,Giovanni Battista Fontana,1524-01-01T00:00:00Z,1587-09-25T00:00:00Z,Aalen,"48.837222222222, 10.093611111111",Innsbruck,"47.266666666667, 11.383333333333"
http://www.wikidata.org/entity/Q1479444,Hans Bocksberger,1500-01-01T00:00:00Z,1569-01-01T00:00:00Z,Salzbourg,"47.766944444444, 13.364166666667",Salzbourg,"47.766944444444, 13.364166666667"
http://www.wikidata.org/entity/Q1454460,Pietro del Donzello,1452-01-01T00:00:00Z,1509-02-24T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q1479444,Hans Bocksberger,1500-01-01T00:00:00Z,1561-01-01T00:00:00Z,Salzbourg,"47.766944444444, 13.364166666667",Salzbourg,"47.766944444444, 13.364166666667"
http://www.wikidata.org/entity/Q1527051,Girolamo Mazzola Bedoli,1500-01-01T00:00:00Z,1569-01-01T00:00:00Z,Parme,"44.801472222222, 10.328",Parme,"44.801472222222, 10.328"
http://www.wikidata.org/entity/Q1479444,Hans Bocksberger,1510-01-01T00:00:00Z,1569-01-01T00:00:00Z,Salzbourg,"47.766944444444, 13.364166666667",Salzbourg,"47.766944444444, 13.364166666667"
http://www.wikidata.org/entity/Q1357253,Grão Vasco,1475-01-01T00:00:00Z,1542-01-01T00:00:00Z,Viseu,"40.666666666667, -7.9166666666667",Tomar,"39.6, -8.4166666666667"
http://www.wikidata.org/entity/Q1349114,Théophane le Crétois,1490-01-01T00:00:00Z,1559-01-01T00:00:00Z,Héraklion,"35.333333333333, 25.133333333333",Héraklion,"35.333333333333, 25.133333333333"
http://www.wikidata.org/entity/Q964822,Polidoro da Caravaggio,1499-01-01T00:00:00Z,1543-01-01T00:00:00Z,Bergame,"45.695, 9.67",Messine,"38.183333333333, 15.55"
http://www.wikidata.org/entity/Q1381399,Evangelista da Pian di Meleto,1458-01-01T00:00:00Z,1549-01-18T00:00:00Z,Piandimeleto,"43.7242, 12.412783333333",Urbino,"43.725238888889, 12.6372"
http://www.wikidata.org/entity/Q1361080,Francesco Beccaruzzi,1492-01-01T00:00:00Z,1562-01-01T00:00:00Z,Conegliano,"45.887222222222, 12.296944444444",Trévise,"45.672219444444, 12.242219444444"
http://www.wikidata.org/entity/Q1358762,Jan Wellens de Cock,1480-01-01T00:00:00Z,1527-01-01T00:00:00Z,Leyde,"52.15274, 4.4836",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q1411009,Domenico del Barbieri,1506-01-01T00:00:00Z,1570-01-01T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Troyes,"48.298888888889, 4.0780555555556"
http://www.wikidata.org/entity/Q1381434,Jehan Perréal,1450-01-01T00:00:00Z,1530-01-01T00:00:00Z,Lyon,"45.758888888889, 4.8413888888889",Paris,"48.856577777778, 2.3518277777778"
http://www.wikidata.org/entity/Q1357759,Lambert Sustris,1515-01-01T00:00:00Z,1584-01-01T00:00:00Z,Amsterdam,"52.383333333333, 4.9",Padoue,"45.406388888889, 11.877777777778"
http://www.wikidata.org/entity/Q1381434,Jehan Perréal,1450-01-01T00:00:00Z,1530-01-01T00:00:00Z,Paris,"48.856577777778, 2.3518277777778",Paris,"48.856577777778, 2.3518277777778"
http://www.wikidata.org/entity/Q954072,Raffaellino del Garbo,1470-01-01T00:00:00Z,1524-01-01T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q954072,Raffaellino del Garbo,1470-01-01T00:00:00Z,1527-01-01T00:00:00Z,Florence,"43.771388888889, 11.254166666667",Florence,"43.771388888889, 11.254166666667"
http://www.wikidata.org/entity/Q1126773,Conrad Faber von Creuznach,1490-01-01T00:00:00Z,1552-09-10T00:00:00Z,Bad Kreuznach,"49.846944444444, 7.8669444444444",Francfort-sur-le-Main,"50.113611111111, 8.6797222222222"
http://www.wikidata.org/entity/Q1237059,Domenico Alfani,1480-01-01T00:00:00Z,1553-01-01T00:00:00Z,Pérouse,"43.1121, 12.3888",Pérouse,"43.1121, 12.3888"
http://www.wikidata.org/entity/Q1107117,Raffaellino da Reggio,1550-01-01T00:00:00Z,1578-05-01T00:00:00Z,Codemondo,"44.69107, 10.55874",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q1107117,Raffaellino da Reggio,1550-01-01T00:00:00Z,1578-05-01T00:00:00Z,Codemondo,"44.69082, 10.55098",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q1158989,Lorenzo d'Alessandro,1445-01-01T00:00:00Z,1503-01-01T00:00:00Z,San Severino Marche,"43.228855555556, 13.177102777778",San Severino Marche,"43.228855555556, 13.177102777778"
http://www.wikidata.org/entity/Q955870,Giovanni Maria Chiodarolo,1480-01-01T00:00:00Z,1530-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Bologne,"44.493888888889, 11.342777777778"
http://www.wikidata.org/entity/Q954126,Salai,1480-01-01T00:00:00Z,1524-02-08T00:00:00Z,Milan,"45.464161, 9.190336",Milan,"45.464161, 9.190336"
http://www.wikidata.org/entity/Q1358762,Jan Wellens de Cock,1480-01-01T00:00:00Z,1527-01-01T00:00:00Z,Leyde,"52.154444444444, 4.4947222222222",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q1398277,Jan van Dornicke,1475-01-01T00:00:00Z,1527-01-01T00:00:00Z,Tournai,"50.6, 3.3833333333333",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q1440939,Francesco Bianchi,1447-01-01T00:00:00Z,1510-02-08T00:00:00Z,Ferrare,"44.835297, 11.619865",Modène,"44.64582, 10.92572"
http://www.wikidata.org/entity/Q1409601,Nicolò Rondinelli,1450-01-01T00:00:00Z,1510-01-01T00:00:00Z,Ravenne,"44.417777777778, 12.199444444444",Ravenne,"44.417777777778, 12.199444444444"
http://www.wikidata.org/entity/Q1604994,Hendrick van den Broeck,1519-01-01T00:00:00Z,1597-09-28T00:00:00Z,Malines,"51.016666666667, 4.4666666666667",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q1528003,Giulio Campi,1502-01-01T00:00:00Z,1572-01-01T00:00:00Z,Crémone,"45.133333333333, 10.033333333333",Crémone,"45.133333333333, 10.033333333333"
http://www.wikidata.org/entity/Q1627164,Giovanni Antonio Lappoli,1492-01-01T00:00:00Z,1552-01-01T00:00:00Z,Arezzo,"43.463055555556, 11.878055555556",Arezzo,"43.463055555556, 11.878055555556"
http://www.wikidata.org/entity/Q1537756,Goossen van der Weyden,1455-01-01T00:00:00Z,1543-01-01T00:00:00Z,Bruxelles,"50.846666666667, 4.3525",Anvers,"51.216666666667, 4.4"
http://www.wikidata.org/entity/Q1604994,Hendrick van den Broeck,1530-01-01T00:00:00Z,1597-09-28T00:00:00Z,Malines,"51.016666666667, 4.4666666666667",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q1580861,Hans Krell,1490-01-01T00:00:00Z,1565-01-01T00:00:00Z,Crailsheim,"49.134722222222, 10.070555555556",Leipzig,"51.333333333333, 12.383333333333"
http://www.wikidata.org/entity/Q1581905,Hans Raphon,1460-01-01T00:00:00Z,1528-01-01T00:00:00Z,Northeim,"51.706666666667, 10.001111111111",Northeim,"51.706666666667, 10.001111111111"
http://www.wikidata.org/entity/Q1429562,Florian Abel,1600-01-01T00:00:00Z,1565-05-14T00:00:00Z,Cologne,"50.942222222222, 6.9577777777778",Prague,"50.088611111111, 14.421388888889"
http://www.wikidata.org/entity/Q1392217,Hans Sebald Lautensack,1524-01-01T00:00:00Z,1565-01-01T00:00:00Z,Bamberg,"49.89166667, 10.88888889",Vienne,"48.20833, 16.373064"
http://www.wikidata.org/entity/Q1392217,Hans Sebald Lautensack,1524-01-01T00:00:00Z,1565-01-01T00:00:00Z,Bamberg,"49.891666666667, 10.891666666667",Vienne,"48.20833, 16.373064"
http://www.wikidata.org/entity/Q1440424,Girolamo dai Libri,1474-01-01T00:00:00Z,1555-07-02T00:00:00Z,Vérone,"45.438158333333, 10.993741666667",Vérone,"45.438158333333, 10.993741666667"
http://www.wikidata.org/entity/Q1374872,Liberale da Verona,1441-01-01T00:00:00Z,1529-01-01T00:00:00Z,Vérone,"45.438158333333, 10.993741666667",Vérone,"45.438158333333, 10.993741666667"
http://www.wikidata.org/entity/Q1513704,Gerlach Flicke,1495-01-01T00:00:00Z,1558-01-01T00:00:00Z,Osnabrück,"52.278888888889, 8.0430555555556",Londres,"51.507222222222, -0.1275"
http://www.wikidata.org/entity/Q1258585,Alvise Vivarini,1446-01-01T00:00:00Z,1502-01-01T00:00:00Z,Venise,"45.439722222222, 12.331944444444",Venise,"45.439722222222, 12.331944444444"
http://www.wikidata.org/entity/Q1347662,Niccolò Soggi,1480-01-01T00:00:00Z,1552-07-12T00:00:00Z,Arezzo,"43.463055555556, 11.878055555556",Arezzo,"43.463055555556, 11.878055555556"
http://www.wikidata.org/entity/Q1347662,Niccolò Soggi,1474-01-01T00:00:00Z,1552-07-12T00:00:00Z,Arezzo,"43.463055555556, 11.878055555556",Arezzo,"43.463055555556, 11.878055555556"
http://www.wikidata.org/entity/Q1333792,Girolamo Muziano,1528-01-01T00:00:00Z,1592-01-01T00:00:00Z,Brescia,"45.538888888889, 10.220280555556",Rome,"41.893055555556, 12.482777777778"
http://www.wikidata.org/entity/Q1337287,Pedro Machuca,1490-01-01T00:00:00Z,1550-01-01T00:00:00Z,Tolède,"39.866666666667, -4.0333333333333",Grenade,"37.178055555556, -3.6008333333333"
http://www.wikidata.org/entity/Q1291233,Stanisław Samostrzelnik,1490-01-01T00:00:00Z,1541-01-01T00:00:00Z,Cracovie,"50.066666666667, 19.95",Cracovie,"50.066666666667, 19.95"
http://www.wikidata.org/entity/Q1350937,Innocenzo da Imola,1490-01-01T00:00:00Z,1548-01-01T00:00:00Z,Imola,"44.353444388889, 11.714373194444",Bologne,"44.493888888889, 11.342777777778"
http://www.wikidata.org/entity/Q1269738,Nikola Božidarević,1463-01-01T00:00:00Z,1517-01-01T00:00:00Z,Kotor,"42.42539, 18.771191",Dubrovnik,"42.640277777778, 18.108333333333"
http://www.wikidata.org/entity/Q1287248,Vicente Masip,1475-01-01T00:00:00Z,1545-01-01T00:00:00Z,Andilla,"39.835833333333, -0.81361111111111",Valence,"39.466666666667, -0.375"
http://www.wikidata.org/entity/Q1339790,Lucas van Valckenborch,1535-01-01T00:00:00Z,1597-02-02T00:00:00Z,Louvain,"50.866666666667, 4.7",Francfort-sur-le-Main,"50.113611111111, 8.6797222222222"
http://www.wikidata.org/entity/Q1351631,Ludovico Mazzolino,1480-01-01T00:00:00Z,1528-01-01T00:00:00Z,Plovdiv,"42.143333333333, 24.748888888889",Ferrare,"44.835297, 11.619865"
http://www.wikidata.org/entity/Q1334726,Girolamo di Benvenuto,1470-01-01T00:00:00Z,1524-01-01T00:00:00Z,Sienne,"43.318333333333, 11.331388888889",Sienne,"43.318333333333, 11.331388888889"
http://www.wikidata.org/entity/Q1346997,Giorgio Andreoli,1465-01-01T00:00:00Z,1553-01-01T00:00:00Z,Verbania,"45.933333333333, 8.5333333333333",Gubbio,"43.3517882, 12.5772674"
http://www.wikidata.org/entity/Q1327840,Elena Anguissola,1532-01-01T00:00:00Z,1584-01-01T00:00:00Z,Crémone,"45.133333333333, 10.033333333333",Mantoue,"45.156388888889, 10.791111111111"
http://www.wikidata.org/entity/Q1300408,Heinrich Vogtherr,1513-01-01T00:00:00Z,1568-01-01T00:00:00Z,Dillingen,"48.566666666667, 10.466666666667",Vienne,"48.20833, 16.373064"
http://www.wikidata.org/entity/Q1610325,Herman Posthumus,1512-01-01T00:00:00Z,1566-01-01T00:00:00Z,Frise orientale,"53.47, 7.49",Amsterdam,"52.383333333333, 4.9"
http://www.wikidata.org/entity/Q1532784,Joseph Weiß,1487-01-01T00:00:00Z,1565-01-01T00:00:00Z,Balingen,"48.273055555556, 8.8505555555556",Balingen,"48.273055555556, 8.8505555555556"
http://www.wikidata.org/entity/Q1613167,Hermann tom Ring,1521-01-02T00:00:00Z,1596-10-18T00:00:00Z,Münster,"51.966666666667, 7.6333333333333",Münster,"51.966666666667, 7.6333333333333"
